,nom,catégorie,description,prix,image,note_client,Marque
0,"Audrey Evo 49,5cm 45L Mini Frigo Bleu",Refrigerateur et Congelateur,"Tout ce qui compte, au frais : Boissons, encas, médicaments ou cosmétiques trouvent facilement leur place grâce aux 43 litres de capacité — le compresseur R600a maintient une température stable entre 0 et 10 °C.
Discret comme une ombre : À seulement 42 dB de niveau sonore, l'Audrey Evo Mini Fridge 43 se fait oublier — que ce soit dans une chambre, un bureau ou une salle d'étude.
S'installe où vous le souhaitez : La porte réversible et les pieds réglables en hauteur permettent d'adapter le mini-réfrigérateur à votre aménagement, et non l'inverse.
Visibilité immédiate à l'ouverture : L'éclairage intérieur LED blanc illumine le contenu dès que vous ouvrez la porte — plus besoin de chercher à tâtons ni de laisser la porte ouverte inutilement.
Des coûts de fonctionnement maîtrisés : Avec 42 W de puissance absorbée et une consommation annuelle de 79 kWh, ce mini-réfrigérateur reste économe — le réfrigérant R600a présente un faible potentiel de réchauffement planétaire (GWP).",256.99,"https://res.cloudinary.com/chal-tec/image/upload/w_750,q_auto,f_auto,dpr_2.0/bbg/10046621/Gallery/10046621_yy_0001_titel___",4.5,Klarstein
1,Annabelle 60 Hotte aspirante,Hotte aspirante,"Une extraction efficace dès la première vapeur : Avec un débit pouvant atteindre 595 m³/h, l'Annabelle 60 capte graisses, vapeurs et odeurs directement à la source. Plusieurs niveaux de puissance vous permettent d'adapter l'extraction à chaque type de cuisson.
Installable partout, sans contrainte de conduit : En mode évacuation ou en mode recyclage, vous choisissez selon votre configuration. Sans accès à un conduit extérieur, un filtre à charbon actif prend le relais pour éliminer les odeurs — aucun percement de mur supplémentaire n'est nécessaire.
Un plan de travail toujours bien éclairé : L'éclairage LED intégré illumine uniformément la zone de cuisson. Commutable à volonté, il offre une durée de vie bien supérieure aux ampoules halogènes classiques pour une consommation réduite.
Un entretien aussi simple que possible : Les deux filtres à graisse en aluminium se glissent directement dans le lave-vaisselle — plus besoin de récurer ni d'acheter des filtres de rechange coûteux. Un cycle de lavage suffit à les remettre à neuf.
Un design qui transforme la cuisine : La façade inclinée en verre trempé noir apporte une touche contemporaine et distinguée, bien loin de l'aspect encombrant des hottes cheminée traditionnelles. Idéale lors d'une rénovation ou d'un nouvel aménagement, elle s'impose comme un véritable élément de décoration.",316.99,"https://res.cloudinary.com/chal-tec/image/upload/w_750,q_auto,f_auto,dpr_2.0/bbg/10032684/Gallery/10032684_yy_0001_titel___",5.0,Klarstein
2,Laurel hotte aspirante 60 cm,Hotte aspirante,"À la hauteur des cuissons les plus exigeantes : En mode Boost, la Klarstein Laurel aspire jusqu'à 417 m³/h — suffisant pour éliminer efficacement les vapeurs grasses, la buée et les odeurs même lors des préparations les plus intenses.
Discrète malgré sa puissance : À pleine vitesse, la hotte émet 63 dB — un niveau contenu pour une hotte de cette capacité. Les trois vitesses de ventilation plus le mode Boost permettent d'adapter précisément l'extraction aux besoins du moment.
Un entretien sans contrainte : Le filtre à graisse en aluminium se détache facilement et passe directement au lave-vaisselle — sans brossage, sans remplacement coûteux. Longue durée de vie garantie : l'éclairage LED (classe d'efficacité énergétique lumineuse A) dure bien plus longtemps que les halogènes classiques et consomme moins d'énergie.
Tout se règle du bout des doigts : Le panneau tactile rétroéclairé donne un accès immédiat à la vitesse du ventilateur et à l'intensité lumineuse, directement sur la hotte — une interface claire et intuitive, même en conditions de faible luminosité.
S'adapte à toutes les configurations : Classée A+++, la Laurel fonctionne en extraction vers l'extérieur ou en recyclage d'air intérieur. Pour le mode recyclage, des filtres à charbon actif sont nécessaires (référence produit 10032844) — ce qui rend l'installation possible même sans conduit mural.",188.99,"https://res.cloudinary.com/chal-tec/image/upload/w_750,q_auto,f_auto,dpr_2.0/bbg/10047444/Gallery/10047444_yy_0001_titel___",5.0,Klarstein
3,Biggie Acier Inoxydable 16L Stérilisateur Electrique Argent,Sterilisateur electrique,"Stérilisation sans surveillance : Une fois la température et la durée réglées, l'appareil maintient la chauffe à 2 000 W de manière constante et s'éteint seul en fin de cycle — aucune intervention manuelle nécessaire.
La bonne taille pour stériliser régulièrement : Avec ses 16 litres de capacité, la cuve accueille jusqu'à 7 bocaux d'un litre en une seule fournée — idéal pour les foyers qui aiment préparer leurs conserves au fil des saisons.
Réglage en deux gestes : Une molette pour la température, une autre pour la durée — le reste se fait tout seul, jusqu'à l'arrêt automatique en fin de programme.
Bien plus qu'un stérilisateur : Le robinet intégré transforme l'appareil en chaudière à boissons chaudes — vin chaud, punch ou thé servis directement à la louche lors des repas conviviaux ou des événements de quartier.
Conçu pour durer et rester rangé : La cuve en acier inoxydable poli se nettoie d'un coup d'éponge, et le rangement du câble dans le socle garantit un plan de travail toujours dégagé.",126.99,"https://res.cloudinary.com/chal-tec/image/upload/w_750,q_auto,f_auto,dpr_2.0/bbg/10029824/Gallery/10029824_yy_0001_titel___",5.0,Klarstein
4,Fine Dinesty Four Micro ondes,Micro ondes,"Trois fonctions, un seul appareil, un plan de travail préservé : La Klarstein Fine Dinesty remplace trois appareils distincts grâce à ses 1 000 W de puissance et ses 23 litres de cavité — sans encombrer votre plan de travail.
Du croustillant là où un simple micro-ondes échoue : Le gril intégré dore gratins, toasts et plats préparés avec un vrai effet de brunissement. En mode combiné, la chaleur des micro-ondes et la puissance du gril agissent simultanément pour un résultat rapide et savoureux.
Une chauffe homogène, de bout en bout : Le plateau tournant en verre trempé fait pivoter les aliments en continu, garantissant une répartition uniforme des ondes dans toute la cavité — plus de zones froides, plus besoin de mélanger à mi-cuisson.
Entretien en quelques secondes : L'intérieur en inox n'accroche ni les graisses ni les éclaboussures. Un passage rapide avec un chiffon humide suffit à retrouver un appareil impeccable, prêt pour la prochaine utilisation.
Prise en main immédiate, sans notice : Molettes, bouton-poussoir et quatre touches directes couvrent toutes les fonctions. Les programmes prédéfinis gèrent les réglages à votre place — idéal quand chaque minute compte.",154.99,"https://res.cloudinary.com/chal-tec/image/upload/w_750,q_auto,f_auto,dpr_2.0/bbg/10027094/Gallery/10027094_yy_0001_titel___Klarstein_Fine_Dinesty_2in1_Mikrowellen_Ofen_rot.jpg",5.0,Klarstein
5,Biggie Acier Inoxydable 27L Stérilisateur Electrique Digital Argent,Sterilisateur electrique,"Une stérilisation entièrement automatique : Une fois la température et le minuteur réglés, l'élément chauffant de 2 000 W maintient la chaleur de manière constante jusqu'à l'arrêt automatique — aucune surveillance nécessaire.
Assez grand pour toutes vos récoltes : La cuve de 27 litres permet de stériliser jusqu'à 14 bocaux d'un litre en une seule session — idéal pour préparer de grandes quantités de conserves en un minimum de temps.
Lisible d'un simple coup d'œil : L'écran digital affiche en temps réel la température actuelle et le temps restant, pour suivre l'avancement du cycle sans avoir à soulever le couvercle.
Bien au-delà de la conserve : Le robinet intégré transforme l'appareil en distributeur de boissons chaudes — vin chaud, punch, thé ou jus de fruits servis directement depuis la cuve lors de vos réceptions.
Conçu pour durer et rester rangé : La cuve en inox résiste à l'usure du quotidien et se nettoie facilement ; le câble se loge discrètement dans le socle pour garder votre plan de travail dégagé.",154.99,"https://res.cloudinary.com/chal-tec/image/upload/w_750,q_auto,f_auto,dpr_2.0/bbg/10029823/Gallery/10029823_yy_0001_titel___",5.0,Klarstein
6,Wurstfabrik 600 Hot Dog Maker,Petit electromenager,"Même les pâtes les plus lourdes ne lui font pas peur : Grâce à son moteur de 600 W et à son système planétaire, la Klarstein Wurstfabrik 600 pétrit pâtes à pain et pâtes à pizza avec régularité et sans interruption, jusqu'à la dernière miette de farine.
Un plan de travail toujours propre : Le protège-éclaboussures livré avec l'appareil confine les projections, tandis que le bol en inox de 1,1 litre se rince en un instant — la cuisine reste impeccable.
Prêt à l'emploi dès le premier jour : Crochet pétrisseur, fouet et batteur plat sont fournis d'emblée — trois accessoires pour couvrir toutes les préparations, sans achat supplémentaire.
Des saucisses comme au marché, sans effort : Le cuiseur vapeur intégré et son réservoir de 5 litres cuisent vos saucisses en 15 à 20 minutes, sans matière grasse ni huile — tendres, uniformément chaudes, gorgées de saveur.
La cuisson sous contrôle, sans soulever le couvercle : Le cylindre en verre à paroi de 1 cm d'épaisseur résiste à la chaleur et offre une visibilité totale sur la cuisson ; le voyant LED vous prévient dès que la vapeur est à bonne température.",236.99,"https://res.cloudinary.com/chal-tec/image/upload/w_750,q_auto,f_auto,dpr_2.0/bbg/10034454/Gallery/10034454_yy_0001_titel___Klarstein_Wurstfabrik_Pro_600_Hot_Dog_Maker_600W",5.0,Klarstein
7,Goldflame 90cm Plaque de cuisson à gaz 4 Feux Noir,Plaque de cuisson,"Réponse immédiate à chaque réglage : Contrairement aux plaques électriques, le gaz réagit sans délai à la moindre rotation du bouton. Avec 3,4 kW de puissance totale, la Klarstein Goldflame passe en un instant d'une saisie à feu vif à un mijotage tout en douceur.
Une chaleur parfaitement répartie sous chaque casserole : Les brûleurs Sabaf en laiton — fabriqués en Italie — diffusent la chaleur de manière homogène sur toute la surface de cuisson, pour des résultats réguliers à chaque utilisation.
Allumage sûr, en un geste : Une simple pression suffit pour enflammer les brûleurs grâce à l'allumage électrique intégré — sans allumette ni briquet. Le Flame Failure Device (FFD) coupe automatiquement l'arrivée de gaz dès qu'une flamme s'éteint accidentellement.
Une stabilité sans faille pour vos ustensiles : Les grilles en fonte robustes maintiennent fermement casseroles et poêles de toutes tailles — d'un wok lourd à une petite casserole — sans risque de glissement ni de basculement.
Deux sources de gaz, une seule table de cuisson : Livrée réglée pour le gaz naturel (20 mbar), la Goldflame se convertit facilement en GPL (50 mbar) grâce au kit de conversion inclus. Le flexible et le détendeur sont fournis d'emblée.",349.99,"https://res.cloudinary.com/chal-tec/image/upload/w_750,q_auto,f_auto,dpr_2.0/bbg/10045629/Gallery/10045629_yy_0001_titel___",5.0,Klarstein
8,Vilhelmine Four 55L,Four,"Une cuisson homogène sur chaque niveau : La convection répartit la chaleur sur les quatre niveaux d'enfournement de manière uniforme — aucune zone froide, aucun réglage en cours de cuisson, des résultats constants à chaque fournée.
Assez de place pour les grands repas : Avec 55 litres de capacité utile, un rôti entier, une plaque complète ou plusieurs préparations simultanées trouvent facilement leur place — idéal pour les repas en famille ou les occasions spéciales.
Des gratins dorés à la perfection : Le gril intégré fait dorer, gratiner et croustiller en surface de façon régulière — pour une belle croûte sur vos plats, sans avoir besoin d'un appareil séparé.
Tout surveiller sans perdre la chaleur : L'éclairage intérieur LED illumine la cavité sans zone d'ombre, permettant de vérifier la cuisson d'un simple regard — la porte reste fermée, la température reste stable.
Consommation maîtrisée, résultats préservés : La classe énergétique A garantit que la Vilhelmine travaille avec une consommation électrique réduite — ce que votre facture remarquera, sans que vos plats en pâtissent.",433.99,"https://res.cloudinary.com/chal-tec/image/upload/w_750,q_auto,f_auto,dpr_2.0/bbg/10030225/Gallery/10030225_yy_0001_titel___",5.0,Klarstein
9,Klarstein El Presidente Cave pour 48 cigares,Cave a cigare,"Des conditions de conservation parfaites pour chaque vin : La température se règle précisément entre 14 et 18 °C et le taux d'humidité est maintenu en permanence entre 65 et 75 % — vos vins vieillissent et se conservent dans un environnement réellement optimal.
Discret jusque dans les pièces à vivre : À seulement 26 dB, l'El Presidente 48 est plus silencieux qu'une conversation — aucun bourdonnement gênant dans votre cuisine ouverte ou votre salle à manger.
Chaque bouteille à sa place : Trois clayettes standards et une clayette en bois de cèdre organisent vos 48 litres de capacité, permettant de séparer les cépages, les millésimes et les arômes délicats.",349.99,"https://res.cloudinary.com/chal-tec/image/upload/w_750,q_auto,f_auto,dpr_2.0/bbg/10036102/Gallery/10036102_yy_0001_titel___",5.0,Klarstein
